,Node degree,Betweenness centrality,Eigenvector centrality,Closeness centrality,Betweenness/Node degree
NEUROD1,9,1.123749813833301e-05,0.0011259066766079796,0.34725486007263406,1.2486109042592234e-06
HSP90AA1,392,0.014201181460650024,0.08048275751663504,0.5176751592356688,3.622750372614802e-05
ARHGEF1,24,6.008248140144623e-05,0.005617915854698316,0.4023514851485149,2.5034367250602598e-06
GRB2,295,0.01008998958209837,0.05049493708531633,0.49626011295985345,3.4203354515587694e-05
ALDH2,40,0.0006077704439336203,0.005799234650621006,0.40678178178178176,1.5194261098340508e-05
UNC119,45,0.00023564992583886572,0.004880811079836087,0.39301257253384914,5.236665018641461e-06
BLMH,32,8.500836869025455e-05,0.009033776566818082,0.4229218160530766,2.6565115215704547e-06
SH3GL2,26,0.0005251302597511177,0.0036764835913815613,0.3921592279855247,2.0197317682735295e-05
HGH1,11,9.679009156898616e-05,0.0018582993301182263,0.3587904204833903,8.799099233544196e-06
TRIT1,4,2.3404440622944532e-06,9.015912010786997e-05,0.303973819541842,5.851110155736133e-07
XPNPEP1,36,0.00024118393212428074,0.007799012673728435,0.41829644879053013,6.699553670118909e-06
XPO7,44,0.0003796945191556173,0.00911429369807162,0.43002645502645503,8.629420889900392e-06
NOL12,34,7.618629819788753e-05,0.006083460729168675,0.3831918906176332,2.2407734764084568e-06
MYCBP,17,2.689967673684661e-05,0.005151085075647478,0.39482632985183386,1.5823339256968593e-06
SLC35F6,9,4.148828087081622e-05,0.0010370294197571696,0.354835188823401,4.6098089856462465e-06
IGSF21,12,9.866322352030655e-06,0.001687816834444834,0.3537155913393537,8.221935293358879e-07
BAG6,117,0.0020330189033264936,0.019462936747124134,0.45660112359550564,1.7376229942961483e-05
CHN2,9,1.1033139108547372e-05,0.0008771504993362816,0.34699541039598675,1.2259043453941524e-06
ELL3,5,6.531810317064592e-06,0.0012291669939886029,0.3551840926472195,1.3063620634129184e-06
FGFR3,27,0.00020047612206414172,0.004513668861778515,0.3813489736070381,7.425041557931175e-06
PNO1,31,2.511984496153272e-05,0.012201598348270434,0.4089308176100629,8.103175794042813e-07
ACP5,12,1.5169805106048461e-05,0.002028558247614334,0.35592292533391723,1.2641504255040383e-06
PEBP1,40,0.0004392881620870034,0.005013259390153678,0.39665690580771107,1.0982204052175085e-05
STC2,6,1.0566533244574441e-05,0.0022083740603135926,0.38041188860285513,1.7610888740957402e-06
RPS3A,152,0.0007782379640178111,0.05808980970330037,0.4617241869052691,5.119986605380336e-06
PIM1,42,0.0003411332308824836,0.007551012749225175,0.42468974526453296,8.122219782916277e-06
SHMT1,18,1.6503151414589106e-05,0.0015925206394105664,0.35650838907774973,9.168417452549503e-07
CRMP1,45,0.00020256417835921037,0.007879371615011371,0.4157289002557545,4.50142618576023e-06
BRD7,19,2.8950770019322497e-05,0.004885751441653692,0.3860128235573498,1.5237247378590788e-06
UBR1,42,0.00044855222747493305,0.008363912764397205,0.4236934706112342,1.0679814939879358e-05
GOLM1,9,3.177611838892293e-05,0.0021676148061606872,0.3722234943897412,3.5306798209914364e-06
GSTO1,34,0.0010044110006986406,0.005761543992983334,0.40708740295517154,2.9541500020548252e-05
SETDB1,54,0.0003997412505506262,0.010463211155764906,0.4306530666313419,7.402615750937522e-06
PTN,39,0.00018164453261338597,0.004630599299323252,0.38505270638398675,4.657552118291948e-06
RBM48,15,2.202389835694474e-05,0.002194040589783983,0.35946483856700573,1.4682598904629827e-06
EEF1G,108,0.0010094086954907154,0.034596105210146263,0.46824139420999566,9.346376810099218e-06
EIF6,72,0.00023208748020707293,0.023616195502798122,0.439740294873529,3.2234372250982352e-06
YWHAZ,217,0.0036702955822992575,0.05108318219396611,0.49347298117789923,1.691380452672469e-05
IRAK1,73,0.0005316998751537793,0.018624592276145154,0.45367010884733466,7.283559933613415e-06
SOCS1,43,0.00011937378487030327,0.006960156944004717,0.4017051773137279,2.776134531867518e-06
STAT1,107,0.0010059521491796513,0.021701572428015868,0.4621179815209666,9.401421954950012e-06
PTPN11,90,0.0013634163242401546,0.012539983266498968,0.448537527593819,1.514907026933505e-05
CAP1,40,7.187771898756e-05,0.011579143168825216,0.4139819177384439,1.796942974689e-06
ACTA1,83,0.0006046638189376234,0.019698682650177345,0.4503393821858983,7.285106252260523e-06
MRVI1,2,0.0,5.512501159534419e-05,0.29367660343270097,0.0
ITPR1,19,0.0004962049303189581,0.004380145039957382,0.4006655163914222,2.6116048964155693e-05
TAF1,32,4.420370381057143e-05,0.00719855916985237,0.4027502477700694,1.3813657440803572e-06
IGF2,15,0.0007163617488656505,0.0005888806858015797,0.33738065587380656,4.7757449924376696e-05
NOV,8,3.3703851562065016e-05,0.0025452861852326286,0.36499382508139666,4.212981445258127e-06
